Search Link,Date collected,Name
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,50 Cent
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,50 Cent
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,A Trak
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Aamir Khan
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Aarti Chhabria
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Aarya Babbar
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Abbie Cornish
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Abhay Deol
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Abhishek Bachchan
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Adam Sandler
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Adel Ali
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Adele
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Bar Refaeli
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Barkha Shewakramani
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Barney York and Lindsay Steven
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Barry Kirsch
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Bebhinn Kelly
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Ben Affleck
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Ben Stiller
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Benji Madden
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Beyonce Knowles
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Bhoomika Chawla
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Caitlin Wilson
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Cameron Diaz
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Camilla Chaudry
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Carey Mulligan
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Carla Bruni
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Carly Ray Jepsen
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Carmen Electra
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Carrie Underwood
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Casey Affleck
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Cash Warren
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Dakota Fanning
https://www.ahlanlive.com/star-stories/celebrities/a-z,2020-06-30,Dalia Dogmoch Soubra
