Search Link,Date collected,company_name,city,company_address,company_category
http://www.yellowpages.com/new-york-ny/mip/asian-fusion-22999306,2020-06-14,Asian Fusion,New York,"11 Stone St, New York, NY 10004",Asian Restaurants
http://www.yellowpages.com/new-york-ny/mip/piccolo-angolo-2684275?geo_location_terms=&lid=2684275&search_terms=,2020-06-14,Piccolo Angolo,New York,"621 Hudson St, New York, NY 10014",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/lupa-osteria-romana-392983?geo_location_terms=&lid=392983&search_terms=,2020-06-14,Lupa Osteria Romana,New York,"170 Thompson St, New York, NY 10012",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/ellens-stardust-diner-9844978?geo_location_terms=&lid=9844978&search_terms=,2020-06-14,Ellen's Stardust Diner,New York,"1650 Broadway, New York, NY 10019",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/le-veau-dor-7135016,2020-06-14,Le Veau Dor,New York,"129 E 60th St, New York, NY 10022",French Restaurants
http://www.yellowpages.com/new-york-ny/mip/pita-grill-6265201,2020-06-14,Pita Grill,New York,"69 New St, New York, NY 10004",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/sidecar-473603985,2020-06-14,Sidecar,New York,"915 3rd Ave, New York, NY 10022",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/tia-pol-10979776?geo_location_terms=&lid=10979776&search_terms=,2020-06-14,Tia Pol,New York,"205 10th Ave, New York, NY 10011",Spanish Restaurants
http://www.yellowpages.com/new-york-ny/mip/outback-steakhouse-473607992?geo_location_terms=&lid=473607992&search_terms=,2020-06-14,Outback Steakhouse,New York,"60 W 23rd St, New York, NY 10010",Steak Houses
http://www.yellowpages.com/new-york-ny/mip/the-stanton-social-5424542?geo_location_terms=&lid=5424542&search_terms=,2020-06-14,The Stanton Social,New York,"99 Stanton St, New York, NY 10002",Night Clubs
http://www.yellowpages.com/new-york-ny/mip/colicchio-sons-452174549?geo_location_terms=&lid=452174549&search_terms=,2020-06-14,Colicchio & Sons,New York,"85 10th Ave, New York, NY 10011",Fine Dining Restaurants
http://www.yellowpages.com/new-york-ny/mip/babbo-285698?geo_location_terms=&lid=285698&search_terms=,2020-06-14,Babbo,New York,"110 Waverly Pl Frnt A, New York, NY 10011",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/gyu-kaku-467899999?geo_location_terms=&lid=467899999&search_terms=,2020-06-14,Gyu-Kaku,New York,"34 Cooper Sq, New York, NY 10003",Japanese Restaurants
http://www.yellowpages.com/new-york-ny/mip/pearl-oyster-bar-2983683?geo_location_terms=&lid=2983683&search_terms=,2020-06-14,Pearl Oyster Bar,New York,"18 Cornelia St Apt 2, New York, NY 10014",Seafood Restaurants
http://www.yellowpages.com/new-york-ny/mip/boqueria-10666545?geo_location_terms=&lid=10666545&search_terms=,2020-06-14,Boqueria,New York,"53 W 19th St, New York, NY 10011",Spanish Restaurants
http://www.yellowpages.com/new-york-ny/mip/prima-470877667,2020-06-14,Prima,New York,"58 E 1st St, New York, NY 10003",Family Style Restaurants
http://www.yellowpages.com/new-york-ny/mip/punch-28771538?geo_location_terms=&lid=28771538&search_terms=,2020-06-14,Punch,New York,"913 Broadway, New York, NY 10010",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/alpha-fusion-458844388,2020-06-14,Alpha Fusion,New York,"365 W 34th St, New York, NY 10001",Asian Restaurants
